iter	Passed	Remaining
0	177	176905
1	227	113472
2	305	101560
3	359	89429
4	398	79337
5	441	73184
6	482	68421
7	520	64573
8	558	61442
9	595	58946
10	627	56379
11	665	54797
12	692	52542
13	733	51687
14	772	50734
15	815	50123
16	856	49528
17	895	48870
18	954	49268
19	987	48376
20	1045	48741
21	1098	48826
22	1142	48516
23	1182	48077
24	1225	47778
25	1266	47449
26	1303	46973
27	1335	46378
28	1370	45899
29	1405	45429
30	1439	45004
31	1474	44608
32	1509	44244
33	1547	43964
34	1584	43696
35	1621	43428
36	1659	43182
37	1684	42640
38	1723	42465
39	1759	42236
40	1797	42034
41	1830	41744
42	1862	41458
43	1892	41125
44	1924	40845
45	1944	40323
46	1976	40067
47	2008	39841
48	2045	39692
49	2081	39546
50	2120	39453
51	2164	39456
52	2200	39312
53	2237	39203
54	2274	39076
55	2312	38976
56	2336	38661
57	2384	38732
58	2439	38902
59	2480	38853
60	2521	38807
61	2543	38473
62	2582	38407
63	2602	38062
64	2638	37949
65	2686	38021
66	2734	38083
67	2780	38109
68	2808	37894
69	2846	37819
70	2879	37677
71	2920	37637
72	2957	37561
73	2974	37218
74	3013	37161
75	3050	37092
76	3091	37063
77	3132	37022
78	3174	37008
79	3210	36925
80	3232	36672
81	3270	36609
82	3305	36514
83	3344	36472
84	3384	36435
85	3424	36391
86	3439	36093
87	3478	36047
88	3493	35759
89	3527	35665
90	3548	35446
91	3586	35397
92	3622	35328
93	3658	35262
94	3674	35001
95	3694	34794
96	3734	34770
97	3773	34727
98	3798	34570
99	3836	34528
100	3872	34467
101	3908	34413
102	3918	34126
103	3932	33880
104	3969	33839
105	4001	33751
106	4040	33722
107	4083	33730
108	4131	33771
109	4166	33707
110	4395	35201
111	4435	35166
112	4477	35144
113	4505	35013
114	4542	34953
115	4582	34918
116	4601	34729
117	4642	34700
118	4698	34788
119	4758	34895
120	4805	34908
121	4842	34852
122	4873	34746
123	4897	34596
124	4939	34575
125	4979	34537
126	5022	34527
127	5062	34489
128	5102	34454
129	5143	34420
130	5183	34382
131	5223	34350
132	5262	34303
133	5303	34274
134	5322	34105
135	5376	34158
136	5425	34173
137	5482	34243
138	5527	34235
139	5583	34296
140	5630	34303
141	5680	34322
142	5698	34151
143	5727	34046
144	5783	34103
145	5829	34099
146	5876	34097
147	5894	33936
148	5938	33919
149	5987	33929
150	6031	33912
151	6075	33895
152	6116	33862
153	6167	33883
154	6194	33770
155	6211	33606
156	6251	33564
157	6310	33628
158	6354	33608
159	6393	33565
160	6423	33472
161	6430	33266
162	6463	33188
163	6498	33125
164	6530	33046
165	6565	32986
166	6606	32951
167	6637	32870
168	6669	32795
169	6804	33223
170	6838	33153
171	6986	33632
172	7029	33603
173	7072	33575
174	7121	33575
175	7168	33562
176	7224	33590
177	7281	33626
178	7342	33678
179	7389	33664
180	7437	33654
181	7493	33680
182	7546	33692
183	7599	33702
