iter	Passed	Remaining
0	127	127017
1	157	78543
2	189	62822
3	227	56745
4	266	53106
5	298	49453
6	327	46508
7	352	43665
8	377	41554
9	406	40200
10	428	38538
11	454	37442
12	473	35977
13	504	35534
14	555	36504
15	606	37273
16	656	37940
17	697	38041
18	753	38909
19	788	38646
20	825	38473
21	863	38368
22	896	38102
23	931	37898
24	962	37536
25	993	37218
26	1020	36782
27	1047	36354
28	1074	35991
29	1101	35617
30	1128	35282
31	1154	34933
32	1182	34642
33	1233	35048
34	1276	35202
35	1315	35214
36	1351	35185
37	1375	34818
38	1411	34782
39	1443	34641
40	1478	34571
41	1502	34271
42	1536	34191
43	1565	34012
44	1594	33831
45	1608	33364
46	1636	33188
47	1661	32954
48	1688	32766
49	1713	32563
50	1741	32412
51	1769	32253
52	1791	32002
53	1825	31976
54	1862	31997
55	1899	32015
56	1917	31717
57	1955	31765
58	2007	32014
59	2060	32281
60	2111	32496
61	2134	32287
62	2165	32206
63	2181	31898
64	2212	31830
65	2253	31883
66	2315	32249
67	2357	32309
68	2382	32141
69	2408	31994
70	2428	31781
71	2470	31843
72	2496	31704
73	2507	31382
74	2533	31251
75	2562	31155
76	2589	31040
77	2614	30903
78	2643	30816
79	2671	30718
80	2685	30472
81	2716	30410
82	2756	30454
83	2798	30520
84	2838	30552
85	2863	30434
86	2874	30166
87	2902	30078
88	2911	29802
89	2936	29688
90	2949	29461
91	2978	29397
92	3004	29300
93	3030	29208
94	3042	28982
95	3055	28773
96	3090	28774
97	3117	28693
98	3144	28618
99	3185	28668
100	3216	28627
101	3244	28562
102	3252	28322
103	3262	28108
104	3292	28063
105	3317	27980
106	3346	27926
107	3377	27895
108	3406	27847
109	3434	27789
110	3466	27764
111	3498	27739
112	3525	27675
113	3544	27544
114	3568	27461
115	3599	27426
116	3612	27266
117	3653	27304
118	3698	27378
119	3739	27420
120	3782	27478
121	3823	27518
122	3851	27458
123	3894	27514
124	3925	27481
125	3955	27438
126	3987	27413
127	4014	27348
128	4043	27300
129	4070	27243
130	4106	27237
131	4145	27257
132	4179	27245
133	4218	27260
134	4229	27102
135	4264	27090
136	4301	27099
137	4341	27118
138	4379	27128
139	4413	27111
140	4441	27056
141	4471	27018
142	4482	26864
143	4496	26727
144	4523	26670
145	4551	26621
146	4578	26569
147	4591	26432
148	4616	26364
149	4642	26305
150	4670	26259
151	4695	26198
152	4721	26138
153	4747	26081
154	4762	25960
155	4773	25828
156	4801	25780
157	4830	25739
158	4885	25839
159	4935	25909
160	4985	25979
161	4996	25847
162	5039	25875
163	5080	25896
164	5118	25901
165	5162	25935
166	5206	25968
167	5247	25986
168	5287	26001
169	5327	26008
170	5362	25996
171	5392	25958
172	5424	25930
173	5467	25954
174	5506	25957
175	5541	25946
176	5580	25946
177	5614	25929
178	5642	25880
179	5671	25836
180	5699	25789
181	5726	25737
182	5757	25704
183	5790	25679
184	5818	25634
185	5846	25587
186	5877	25551
187	5905	25505
188	5923	25419
189	5960	25409
190	5987	25359
191	6017	25322
192	6047	25285
193	6087	25291
194	6140	25348
195	6198	25426
196	6236	25419
197	6287	25468
198	6337	25510
199	6383	25532
200	6420	25521
201	6456	25505
202	6489	25479
203	6518	25433
204	6546	25388
205	6576	25347
206	6605	25303
207	6633	25256
208	6659	25205
209	6687	25155
210	6718	25121
211	6747	25080
212	6765	24998
213	6813	25024
214	6847	25002
215	6877	24963
216	6909	24931
217	6939	24892
218	6971	24862
219	7004	24833
220	7038	24810
221	7069	24774
222	7101	24743
223	7134	24716
224	7163	24675
225	7194	24640
226	7222	24594
227	7251	24552
228	7281	24514
229	7310	24475
230	7347	24460
231	7385	24448
232	7421	24428
233	7510	24586
234	7540	24546
235	7585	24557
236	7629	24561
237	7665	24541
238	7703	24528
239	7743	24521
240	7783	24512
241	7810	24463
242	7847	24448
243	7885	24432
244	7941	24472
245	8008	24547
246	8047	24534
247	8076	24491
248	8110	24460
249	8140	24421
250	8172	24388
251	8199	24338
252	8232	24306
253	8263	24270
254	8295	24236
255	8323	24191
256	8355	24156
257	8386	24119
258	8419	24087
259	8450	24051
260	8488	24033
261	8526	24016
262	8562	23994
263	8595	23963
264	8637	23956
265	8674	23937
266	8715	23925
267	8752	23905
268	8787	23878
269	8824	23858
270	8858	23829
271	8894	23806
272	8932	23785
273	8967	23760
274	9004	23740
275	9041	23717
276	9080	23701
277	9118	23681
278	9153	23655
279	9189	23631
280	9227	23609
281	9261	23580
282	9295	23551
283	9328	23519
284	9363	23491
285	9399	23465
286	9445	23465
287	9487	23456
288	9522	23427
289	9559	23403
290	9592	23371
291	9616	23316
292	9650	23287
293	9687	23262
294	9721	23231
295	9754	23200
296	9791	23177
297	9827	23150
298	9862	23122
299	9899	23098
300	9935	23072
301	9969	23041
302	10004	23013
303	10027	22957
304	10063	22931
305	10114	22939
306	10147	22906
307	10196	22909
308	10246	22913
309	10283	22888
310	10314	22851
311	10349	22822
312	10382	22788
313	10415	22755
314	10449	22722
315	10483	22692
316	10518	22663
317	10553	22633
318	10581	22590
319	10610	22547
320	10635	22495
321	10659	22444
322	10687	22401
323	10723	22374
324	10759	22345
325	10792	22313
326	10816	22261
327	10852	22234
328	10890	22211
329	10940	22212
330	11007	22247
331	11066	22265
332	11134	22302
333	11177	22287
334	11216	22265
335	11293	22317
336	11333	22296
337	11368	22266
338	11410	22248
339	11451	22228
340	11489	22204
341	11533	22190
342	11583	22187
343	11638	22195
344	11690	22195
345	11745	22201
346	11798	22202
347	11843	22188
348	11898	22194
349	11980	22249
350	12045	22272
351	12098	22272
352	12144	22258
353	12197	22259
354	12254	22264
355	12305	22260
356	12353	22250
357	12401	22238
358	12439	22210
359	12480	22187
360	12518	22158
361	12559	22135
362	12587	22088
363	12630	22069
364	12668	22039
365	12696	21992
366	12733	21962
367	12770	21931
368	12811	21907
369	12850	21880
370	12914	21895
371	12950	21862
372	12977	21815
373	13007	21771
374	13037	21729
375	13067	21687
376	13097	21643
377	13125	21597
378	13155	21555
379	13184	21510
380	13221	21479
381	13256	21447
382	13291	21412
383	13330	21383
384	13367	21354
385	13402	21319
386	13435	21281
387	13468	21244
388	13498	21201
389	13530	21162
390	13558	21118
391	13594	21084
392	13624	21043
393	13651	20997
394	13679	20951
395	13706	20905
396	13739	20868
397	13767	20824
398	13798	20783
399	13827	20740
400	13859	20702
401	13898	20674
402	13949	20665
403	14002	20657
404	14077	20681
405	14132	20677
406	14171	20648
407	14206	20612
408	14235	20569
409	14265	20528
410	14293	20484
411	14314	20429
412	14341	20383
413	14373	20345
414	14402	20302
415	14459	20298
416	14516	20295
417	14546	20254
418	14581	20218
419	14610	20176
420	14646	20143
421	14683	20111
422	14724	20084
423	14755	20044
424	14788	20008
425	14823	19974
426	14869	19953
427	14915	19933
428	14960	19912
429	15001	19885
430	15048	19866
431	15091	19842
432	15132	19816
433	15176	19792
434	15220	19769
435	15263	19744
436	15311	19726
437	15347	19692
438	15392	19670
439	15437	19647
440	15476	19618
441	15519	19591
442	15558	19562
443	15595	19529
444	15627	19490
445	15661	19453
446	15694	19415
447	15727	19378
448	15766	19347
449	15807	19319
450	15847	19291
451	15889	19263
452	15926	19231
453	15961	19195
454	15996	19160
455	16029	19122
456	16059	19081
457	16095	19047
458	16126	19006
459	16158	18969
460	16191	18930
461	16227	18896
462	16262	18861
463	16292	18820
464	16324	18781
465	16351	18738
466	16386	18702
467	16416	18661
468	16453	18628
469	16487	18592
470	16520	18554
471	16551	18515
472	16599	18494
473	16646	18472
474	16701	18459
475	16750	18439
476	16792	18412
477	16831	18381
478	16873	18353
479	16914	18324
480	16957	18296
481	16997	18267
482	17040	18240
483	17084	18213
484	17120	18179
485	17161	18150
486	17203	18122
487	17242	18090
488	17281	18058
489	17321	18028
490	17363	18000
491	17405	17971
492	17449	17945
493	17495	17919
494	17537	17892
495	17575	17858
496	17621	17833
497	17658	17800
498	17698	17769
499	17738	17738
500	17778	17707
501	17817	17675
502	17849	17636
503	17882	17598
504	17912	17558
505	17944	17519
506	17973	17476
507	18000	17433
508	18028	17390
509	18054	17346
510	18087	17308
511	18114	17265
512	18145	17226
513	18175	17185
514	18205	17144
515	18234	17103
516	18264	17063
517	18295	17023
518	18323	16981
519	18354	16942
520	18381	16899
521	18410	16858
522	18440	16818
523	18472	16780
524	18524	16760
525	18568	16732
526	18617	16709
527	18669	16689
528	18713	16661
529	18759	16635
530	18808	16612
531	18858	16589
532	18905	16564
533	18945	16533
534	18981	16497
535	19016	16461
536	19045	16421
537	19080	16385
538	19112	16347
539	19141	16305
540	19170	16264
541	19204	16228
542	19235	16189
543	19265	16148
544	19295	16108
545	19325	16069
546	19352	16026
547	19382	15987
548	19410	15945
549	19441	15906
550	19469	15865
551	19499	15825
552	19531	15787
553	19559	15746
554	19591	15708
555	19618	15666
556	19646	15625
557	19678	15587
558	19705	15546
559	19737	15507
560	19764	15466
561	19794	15426
562	19822	15386
563	19848	15344
564	19879	15305
565	19907	15264
566	19935	15223
567	19965	15185
568	19991	15143
569	20018	15101
570	20050	15064
571	20076	15022
572	20106	14983
573	20135	14944
574	20164	14904
575	20194	14865
576	20222	14824
577	20252	14786
578	20280	14746
579	20305	14703
580	20336	14666
581	20363	14625
582	20390	14584
583	20417	14544
584	20447	14505
585	20478	14467
586	20508	14429
587	20537	14389
588	20566	14350
589	20595	14311
590	20627	14275
591	20684	14255
592	20751	14242
593	20820	14230
594	20866	14203
595	20906	14171
596	20941	14136
597	20973	14098
598	21009	14064
599	21041	14027
600	21073	13990
601	21116	13960
602	21192	13952
603	21255	13935
604	21316	13917
605	21373	13896
606	21431	13875
607	21496	13859
608	21546	13833
609	21595	13806
610	21635	13774
611	21676	13742
612	21724	13714
613	21775	13689
614	21830	13666
615	21866	13631
616	21897	13592
617	21930	13555
618	21963	13518
619	22003	13485
620	22033	13447
621	22064	13409
622	22115	13382
623	22165	13356
624	22215	13329
625	22249	13292
626	22279	13254
627	22306	13213
628	22335	13174
629	22367	13136
630	22399	13098
631	22426	13058
632	22456	13019
633	22487	12981
634	22516	12942
635	22548	12905
636	22579	12866
637	22612	12830
638	22638	12789
639	22674	12754
640	22722	12725
641	22779	12702
642	22834	12677
643	22883	12650
644	22926	12618
645	22965	12584
646	23008	12553
647	23040	12516
648	23072	12478
649	23101	12439
650	23129	12399
651	23157	12360
652	23185	12320
653	23216	12282
654	23279	12261
655	23312	12225
656	23343	12187
657	23371	12147
658	23405	12111
659	23433	12071
660	23466	12035
661	23507	12002
662	23545	11968
663	23578	11931
664	23610	11893
665	23643	11857
666	23678	11821
667	23712	11785
668	23747	11749
669	23780	11712
670	23817	11677
671	23851	11641
672	23886	11605
673	23921	11570
674	23957	11535
675	23987	11497
676	24035	11467
677	24091	11441
678	24151	11417
679	24209	11392
680	24268	11368
681	24323	11341
682	24384	11317
683	24420	11282
684	24473	11254
685	24525	11226
686	24581	11199
687	24624	11166
688	24660	11131
689	24694	11094
690	24730	11058
691	24761	11021
692	24795	10984
693	24831	10948
694	24864	10911
695	24901	10876
696	24938	10841
697	24975	10806
698	25010	10769
699	25044	10733
700	25080	10697
701	25115	10661
702	25149	10625
703	25187	10590
704	25235	10559
705	25275	10525
706	25314	10491
707	25350	10455
708	25387	10419
709	25422	10383
710	25454	10346
711	25492	10311
712	25529	10276
713	25571	10242
